swear_IT,swear_EN,year,n_sentences,n_tokens,tokens_per_sent,char_per_tok,lexical_density,avg_token_per_clause,bpm,centroid,rolloff,flux,rms,zcr,flatness,spectral_complexity,pitch,loudness,duration_ms,explicit,marco-zones
4,0,2020.0,28.0,236.0,8.428571428571429,3.689189189189189,0.5,6.2105263157894735,120.03,0.1508,2366.2406,1.4543,0.2451,0.0785,0.8423,28.2409,1938.3149,26.4812,138560.0,1,North
1,5,2019.0,41.0,461.0,11.24390243902439,4.228739002932551,0.5571847507331378,10.477272727272728,111.82,0.1805,3795.6828,1.2148,0.1681,0.1191,0.6155,21.0232,2379.3629,18.9285,152343.0,1,North
1,2,2019.0,25.0,236.0,9.44,3.872727272727273,0.4909090909090909,10.26086956521739,83.98,0.1046,1050.6276,1.3011,0.1774,0.0455,0.7384,9.6972,3290.7641,19.0712,111541.0,1,North
1,5,2019.0,50.0,492.0,9.84,3.2644836272040303,0.5088161209068011,6.473684210526316,162.94,0.144,1869.8051,1.3421,0.2003,0.0696,0.7949,22.8578,2209.678,21.2403,156933.0,1,North
0,2,2019.0,18.0,118.0,6.555555555555555,4.322916666666667,0.46875,13.11111111111111,125.03,0.1269,1934.5935,1.4139,0.2055,0.0697,0.7728,13.0344,3779.4293,22.3514,96595.0,1,North
1,0,1920.0,47.0,497.0,10.574468085106384,3.5216216216216214,0.3594594594594594,5.02020202020202,129.9,0.0974,818.8553,1.1656,0.1881,0.038,0.9207,20.9247,2602.8205,19.4275,144000.0,1,North
3,1,2019.0,35.0,267.0,7.628571428571429,3.9831223628691994,0.540084388185654,8.9,89.99,0.112,1212.2858,1.3092,0.1752,0.0443,0.773,12.1333,2773.7418,19.0531,101333.0,1,North
9,7,2025.0,54.0,719.0,13.314814814814817,4.08411214953271,0.5532710280373832,10.271428571428572,120.13,0.2109,3582.4288,1.2478,0.2094,0.1194,0.8214,33.7949,1824.7316,22.7303,169000.0,1,North
5,2,2018.0,90.0,392.0,4.355555555555555,4.112820512820512,0.6410256410256411,9.560975609756095,162.73,0.1044,1107.2605,1.2771,0.2024,0.0465,0.9019,21.8408,2699.4368,21.4811,97593.0,0,North
0,4,2019.0,61.0,461.0,7.557377049180328,3.2790697674418605,0.6627906976744186,15.366666666666667,111.66,0.1719,2195.196,1.1163,0.2994,0.0855,0.7075,44.7233,2081.2349,35.0766,138560.0,1,North
2,2,1901.0,37.0,401.0,10.83783783783784,4.318339100346021,0.5674740484429066,8.183673469387756,128.13,0.1847,2249.6672,1.2816,0.1782,0.0877,0.8036,18.4892,2329.5916,18.6314,111966.0,1,North
7,0,2052.0,53.0,559.0,10.547169811320757,4.011086474501108,0.5831485587583148,12.704545454545457,110.53,0.1146,1040.0353,1.4597,0.2067,0.0457,0.9101,16.396,3128.3278,21.9519,179277.0,1,North
24,12,2020.0,123.0,1139.0,9.260162601626016,4.242491657397108,0.5728587319243604,7.593333333333334,139.97,0.177,3116.7849,1.2563,0.2229,0.1096,0.8499,30.8548,1684.8277,22.9262,138560.0,1,North
0,2,2023.0,66.0,450.0,6.818181818181818,4.21021021021021,0.5705705705705706,6.428571428571429,130.27,0.1658,1808.7049,1.3226,0.2484,0.0721,0.8827,30.3263,2135.9642,26.9355,174545.0,1,North
4,0,2018.0,84.0,455.0,5.416666666666667,3.969094922737306,0.5518763796909493,6.5,139.97,0.0996,827.0196,1.0763,0.1394,0.0369,0.9329,15.3637,2553.9273,12.5703,155178.0,1,North
17,3,2019.0,51.0,536.0,10.509803921568627,3.675294117647059,0.4964705882352941,13.743589743589745,80.0,0.1182,1782.1832,1.2365,0.2323,0.0637,0.8827,25.0827,2353.2912,26.1656,138560.0,1,North
3,3,2025.0,32.0,327.0,10.21875,4.12015503875969,0.5697674418604651,11.275862068965518,153.3,0.1814,2669.8838,1.2984,0.3032,0.0957,0.8241,37.8022,2296.2452,36.6221,107532.0,1,North
1,64,2024.0,51.0,410.0,8.03921568627451,4.983221476510067,0.5704697986577181,15.185185185185183,129.72,0.184,2515.3547,1.3069,0.2731,0.0994,0.7743,37.2041,2255.9006,30.6359,122076.0,1,North
5,1,2020.0,24.0,214.0,8.916666666666666,4.642424242424243,0.6242424242424243,7.133333333333334,84.9,0.1378,1547.7531,1.2125,0.1773,0.0607,0.8228,24.6032,1849.5998,17.7461,169263.0,1,North
2,3,2022.0,55.0,458.0,8.327272727272728,3.8428184281842817,0.6314363143631436,6.63768115942029,117.14,0.1485,1884.9794,1.1337,0.2034,0.0745,0.8773,34.0868,1930.2272,21.2632,188761.0,1,North
4,3,2025.0,93.0,850.0,9.13978494623656,4.111666666666666,0.585,10.11904761904762,153.01,0.1708,1737.7581,1.2441,0.3138,0.0741,0.906,43.8565,2215.4506,36.5028,181960.0,1,North
3,1,2018.0,92.0,561.0,6.0978260869565215,4.265588914549654,0.5612009237875288,7.1923076923076925,122.98,0.1122,1130.8945,1.3838,0.1507,0.049,0.9279,18.0716,2676.9534,14.3088,149196.0,0,North
0,10,2025.0,51.0,537.0,10.529411764705882,3.920863309352518,0.5515587529976019,10.132075471698114,146.07,0.1603,1812.7452,1.235,0.3084,0.0697,0.8933,27.485,2115.0699,36.1978,187397.0,1,North
0,0,2019.0,17.0,104.0,6.117647058823529,3.7058823529411766,0.4509803921568627,5.777777777777778,129.34,0.0993,1498.5186,1.1173,0.2077,0.0528,0.8567,20.8018,2402.482,22.4804,138560.0,1,North
5,2,2081.0,62.0,630.0,10.161290322580646,3.6436285097192234,0.5356371490280778,9.692307692307692,119.97,0.183,1777.6694,1.1541,0.3587,0.0759,0.871,46.3838,2132.8882,43.4368,169000.0,1,North
1,2,2020.0,25.0,189.0,7.56,4.0,0.5515151515151515,6.3,150.11,0.1135,1028.2468,1.234,0.1994,0.0423,0.9187,22.0308,2186.8316,20.9161,138560.0,1,North
1,0,2024.0,27.0,241.0,8.925925925925926,4.261467889908257,0.481651376146789,6.025,135.98,0.1382,1385.0983,1.045,0.2441,0.0583,0.8568,31.341,2109.3597,26.5365,157941.0,1,North
2,9,2025.0,43.0,521.0,12.116279069767442,3.5904255319148937,0.5797872340425532,10.215686274509803,150.1,0.1764,2002.7622,1.2404,0.3399,0.0786,0.8659,40.0712,2042.2873,40.6788,143389.0,1,North
3,0,2018.0,23.0,130.0,5.652173913043479,3.905511811023622,0.5275590551181102,5.0,129.65,0.0985,1139.1404,0.9966,0.1011,0.0489,0.7687,9.3392,2192.0175,9.4074,162406.0,1,North
13,0,2060.0,40.0,365.0,9.125,4.2444444444444445,0.5682539682539682,6.636363636363637,161.7,0.1488,1929.9293,1.2594,0.0348,0.073,0.7596,6.5206,1758.0497,1.9674,138560.0,1,North
2,8,2018.0,51.0,187.0,3.6666666666666665,4.506172839506172,0.6234567901234568,9.35,129.6,0.0976,892.3945,1.1764,0.1746,0.0391,0.8554,17.7383,2776.0985,17.4324,99692.0,1,North
2,5,2020.0,20.0,178.0,8.9,3.742424242424242,0.553030303030303,12.714285714285714,92.29,0.2307,5476.3469,1.364,0.1025,0.1856,0.2511,16.9316,2410.1656,10.0354,170760.0,0,North
2,1,2020.0,34.0,294.0,8.647058823529411,4.206766917293233,0.4586466165413533,7.0,89.73,0.0692,750.4491,1.1493,0.1604,0.0319,0.9457,16.7389,1468.3771,15.4915,138560.0,1,North
6,0,2015.0,83.0,677.0,8.156626506024097,4.117940199335548,0.5083056478405316,8.358024691358025,102.94,0.0744,1153.9839,1.3177,0.2396,0.0391,0.932,24.2288,2511.7221,25.245,255518.0,1,North
0,0,1933.0,1.0,4.0,4.0,6.0,0.5,0.0,143.55,0.1179,1536.752,1.0361,0.036,0.0602,0.4843,4.4875,2142.6496,2.5214,138560.0,1,North
8,0,1928.0,59.0,616.0,10.440677966101696,3.968634686346864,0.5055350553505535,6.416666666666667,142.74,0.115,1334.5862,1.3676,0.1209,0.0524,0.9236,15.5636,2204.5386,10.4379,1304000.0,1,North
5,2,2057.0,44.0,438.0,9.954545454545457,4.042979942693409,0.5300859598853869,9.319148936170214,117.96,0.1883,2737.5537,1.2408,0.2555,0.0981,0.8177,37.2049,2055.0147,28.8071,139888.0,1,North
0,0,2018.0,1.0,6.0,6.0,5.8,0.6,0.0,131.07,0.1329,1905.387,1.3204,0.1593,0.0705,0.9064,19.8404,2486.7636,15.0284,168513.0,1,North
4,0,2015.0,87.0,805.0,9.25287356321839,3.945530726256983,0.4860335195530726,7.318181818181818,128.72,0.1114,1463.3539,1.2804,0.0781,0.0575,0.8718,11.6074,2139.6551,5.9019,138560.0,1,North
4,0,2015.0,88.0,878.0,9.977272727272728,3.977750309023486,0.4128553770086526,7.19672131147541,81.92,0.1185,1118.5471,1.3251,0.1214,0.0472,0.876,14.0956,2319.0912,10.4646,336960.0,0,North
5,0,2015.0,76.0,604.0,7.947368421052632,3.855652173913043,0.4573913043478261,6.291666666666667,143.22,0.1419,1889.6929,1.2403,0.0828,0.0723,0.8789,14.8602,1846.6317,6.5042,138560.0,1,North
0,0,2016.0,2.0,5.0,2.5,4.8,0.8,0.0,125.23,0.1828,2134.3043,1.4518,0.1995,0.0838,0.8396,29.5775,1953.8753,20.1093,170760.0,0,North
14,11,2025.0,176.0,1506.0,8.556818181818182,4.1630170316301705,0.5466342254663422,8.460674157303371,153.12,0.1627,2192.6911,1.318,0.3458,0.0791,0.7937,44.0823,2195.0064,41.5359,212573.0,1,North
3,1,2078.0,72.0,671.0,9.319444444444445,4.071428571428571,0.4837662337662338,5.283464566929134,124.14,0.1969,2456.785,1.2137,0.2573,0.0959,0.8385,40.9769,1861.3738,28.079,198949.0,1,North
0,0,2058.0,1.0,7.0,7.0,7.8,0.8,0.0,150.14,0.1463,2262.4085,1.3894,0.1408,0.0822,0.7248,21.8987,2214.3585,13.3467,186000.0,1,North
4,1,2025.0,30.0,278.0,9.266666666666667,4.497854077253219,0.5536480686695279,8.176470588235293,117.96,0.1883,2737.5537,1.2408,0.2555,0.0981,0.8177,37.2049,2055.0147,28.8071,149196.0,0,North
0,0,2019.0,43.0,482.0,11.209302325581396,3.979057591623037,0.5418848167539267,7.53125,129.99,0.1611,1805.2343,1.3294,0.1935,0.0682,0.8826,23.7241,2362.5395,20.0809,167760.0,1,Lazio
5,0,2018.0,81.0,726.0,8.962962962962964,3.7642140468227434,0.5117056856187291,7.5625,143.31,0.1091,886.0154,1.4511,0.2043,0.039,0.8954,16.6571,2781.0067,21.417,204467.0,1,Lazio
7,3,2019.0,65.0,683.0,10.507692307692308,3.517509727626459,0.5428015564202334,7.423913043478261,178.21,0.1459,1528.8264,1.4217,0.2837,0.0598,0.8613,35.1988,2251.4679,32.2849,161266.0,1,Lazio
4,0,2019.0,59.0,510.0,8.64406779661017,4.103614457831325,0.5349397590361445,6.8,172.27,0.1732,2271.0018,1.2787,0.2151,0.0848,0.7386,34.5408,1584.8282,22.4763,184037.0,1,Lazio
1,0,2019.0,64.0,535.0,8.359375,3.5454545454545454,0.4482029598308668,5.944444444444445,89.99,0.1917,2010.8747,1.2712,0.2449,0.0849,0.8385,32.7095,2078.3584,27.0532,183762.0,1,Lazio
0,0,2019.0,54.0,662.0,12.25925925925926,3.185267857142857,0.5357142857142857,8.945945945945946,129.9,0.2153,2264.2789,1.2257,0.2085,0.0948,0.7215,23.4013,1661.2994,21.8111,188426.0,1,Lazio
1,0,2019.0,60.0,498.0,8.3,3.980997624703088,0.4608076009501187,6.821917808219178,133.75,0.1968,2361.0931,1.3188,0.2645,0.092,0.8607,34.5461,2129.9599,29.1454,187821.0,1,Lazio
4,3,2020.0,86.0,824.0,9.581395348837209,3.7784431137724552,0.4700598802395209,9.471264367816092,101.0,0.1645,1606.4833,1.4248,0.2588,0.0631,0.8659,28.3351,2412.207,28.7241,201094.0,1,Lazio
0,0,2019.0,66.0,553.0,8.378787878787879,3.8521560574948666,0.5195071868583162,5.168224299065421,89.97,0.1788,2034.9699,1.3278,0.2292,0.0832,0.8282,24.9961,2177.0189,25.5024,176440.0,1,Lazio
