id_author;name;gender;birth_date;birth_place;nationality;active_start;province;region;latitude;longitude;id_artist
ART98307962;shablo;M;1980-11-17;Buenos Aires;Argentina;2001-01-01;Parma;Emilia-Romagna;44.8037407;10.1430038;ART98307962
ART26418649;shade;M;1987-12-10;Torino;Italia;2005-01-01;Torino;Piemonte;45.0677551;7.6824892;ART26418649
ART64850829;shiva;M;;;;2013-12-21;Milano;Lombardia;;;ART64850829
ART41225226;skioffi;M;;;;1977-03-07;Frosinone;Lazio;;;ART41225226
ART28717687;slait;M;1987-01-24;Olbia;Italia;2012-11-27;Gallura;Sardegna;40.9232659;9.5027442;ART28717687
ART22979236;sottotono;M;;;;1994-01-01;Milano;Lombardia;;;ART22979236
ART85780419;tedua;M;1994-02-21;Genova;Italia;2009-10-18;Genova;Liguria;44.40726;8.9338624;ART85780419
ART88026810;thasup;M;2001-03-17;Fiumicino;Italia;2015-01-01;Roma;Lazio;41.7712145;12.2278855;ART88026810
ART51721248;tony boy;M;1999-09-26;Padova;Italia;2009-01-01;Padova;Veneto;45.391408;11.8058487;ART51721248
ART57242110;tony effe;M;1991-05-17;Roma;Italia;2019-10-24;Roma;Lazio;41.8933203;12.4829321;ART57242110
ART98118784;tormento;M;1975-09-06;Reggio Calabria;Italia;1999-01-01;Reggio Calabria;Calabria;38.1035389;15.6397556;ART98118784
ART15560128;vacca;M;1979-10-21;Cagliari;Italia;2001-01-01;Cagliari;Sardegna;39.2171994;9.113311;ART15560128
ART57587384;willie peyote;M;1985-08-28;Torino;Italia;2004-01-01;Torino;Piemonte;45.0677551;7.6824892;ART57587384
ART71515715;yeиdry;F;;;;2019-12-06;Torino;Piemonte;;;ART71515715
ART83631935;yung snapp;M;1996-08-06;Napoli;Italia;2022-09-05;Napoli;Campania;40.8358846;14.2487679;ART83631935
